Temp,Humd,Label
25.0,68.0,1
24.0,62.0,1
24.0,62.0,1
24.0,59.0,1
24.0,59.0,1
24.0,54.0,1
24.0,54.0,1
24.0,54.0,1
22.0,27.0,1
22.0,27.0,1
23.0,27.0,1
23.0,28.0,1
23.0,28.0,1
23.0,28.0,1
23.0,28.0,1
23.0,28.0,1
23.0,41.0,1
23.0,47.0,1
23.0,52.0,1
24.0,58.0,1
25.0,65.0,1
27.0,76.0,1
27.0,77.0,1
28.0,76.0,1
28.0,77.0,1
29.0,79.0,1
29.0,79.0,1
29.0,80.0,1
29.0,80.0,1
30.0,79.0,1
30.0,79.0,1
30.0,79.0,1
30.0,79.0,1
30.0,79.0,1
31.0,79.0,1
31.0,79.0,1
31.0,79.0,1
31.0,79.0,1
31.0,79.0,1
31.0,79.0,1
31.0,79.0,1
31.0,79.0,1
31.0,79.0,1
31.0,79.0,1
31.0,78.0,1
